id,author_id,created_at,original_text,location
68825587,68825587,2021-12-31T03:09:59.000Z,The vaccines work. Theyve always worked.,
1265748177698738177,1265748177698738177,2021-12-31T03:09:59.000Z,@DavidLWindt @benmagelsen Hence it's important now to build that natural immunity up before the next round hits.,East Valley
743918830196523008,743918830196523008,2021-12-31T03:09:59.000Z,"The police seem keen to break up Extinction Rebellion and Insulate Britain protests, along with peaceful vigils held for murder victims, but rather reluctant to do much about Downing St parties, Anti-Vax rallies and protesters smashing up a Covid test centre in Milton Keynes.",
117772607,117772607,2021-12-31T03:09:59.000Z,"In case anyone needs to hear it- the COVID numbers youre seeing are likely massively undercounted. Consider all the rapid tests being done at home (meaning, not reported) and hurdles getting confirmatory PCRs tests. Please stay safe folks ",
1476594801881587715,1476594801881587715,2021-12-31T03:09:59.000Z,"Things I've manifested: 

An Xbox Series X within a week

More communication/specific things with my SP 

Sick family member w/covid to be better within a week

Small instant/ day manifestations",
1873386590,1873386590,2021-12-31T03:09:59.000Z,The valley of the shadow of death is in fact a Covid ICU,
1294419039905878016,1294419039905878016,2021-12-31T03:09:59.000Z,"SHOCK REPORT: This Week CDC Quietly Updated COVID-19 Numbers - Only 9,210 Americans Died From COVID-19 Alone - Rest Had Different Other Serious Illnesses https://t.co/Ashimz3zrb via @gatewaypundit",
1340523219812573185,1340523219812573185,2021-12-31T03:09:59.000Z,Wul a unu have covid ,
874654984977043457,874654984977043457,2021-12-31T03:09:59.000Z,"Case rates in South America, Asia and much of Africa have so far remained relatively low. 

Read more  and see a full list of which countries are seeing record case rates this month  here. https://t.co/VMTmb47YJV","Prince Edward Island, Canada"
52770562,52770562,2021-12-31T03:09:59.000Z,Democracy dies in darkness  https://t.co/9s5ScVyVYx,
